file_path,url,sample_id,ground_truth_validity,qc_remark,qc_comment,Q1,Caste,Age
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b630465d-b7ae-40ce-8fbb-2d75dff18367.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-42-01_samples_AsCuaJ6DR5.mp4,b630465d-b7ae-40ce-8fbb-2d75dff18367,Valid,0,Correctly Done,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_0561ca16-5035-484e-8ce1-5c1f2c40789d.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-42-01_samples_3Fjhoozkiy.mp4,0561ca16-5035-484e-8ce1-5c1f2c40789d,Valid,0,Correctly Done,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b832fdcd-a0c3-4d14-8f98-bfa4032c70b7.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-49-37_samples_armGxonaCc.mp4,b832fdcd-a0c3-4d14-8f98-bfa4032c70b7,Valid,0,Correctly Done,రోడ్లు,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_db5aa4ca-48bf-4ee9-b720-795963fe7487.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-54-19_samples_9yvE6eGzYR.mp4,db5aa4ca-48bf-4ee9-b720-795963fe7487,Valid,0,Correctly Done,త్రాగునీరు,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_669c0eb7-7c72-424e-a168-e467e5b78507.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-14-10_samples_fRMNYJVHWW.mp4,669c0eb7-7c72-424e-a168-e467e5b78507,Valid,0,Correctly Done,రోడ్లు,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_cbd14de6-00b5-41fd-a09e-aa4f44682b13.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-23-42_samples_n4VqC5lS38.mp4,cbd14de6-00b5-41fd-a09e-aa4f44682b13,Valid,0,Correctly Done,కరెంట్,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_a056e942-ce6d-47f7-94c5-36069ee29a20.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-31-01_samples_xJ0geibXE1.mp4,a056e942-ce6d-47f7-94c5-36069ee29a20,Valid,"Q13,14,15,16 not asking",Correctly Done,కరెంట్,Settibalija,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Not Valid_1acff06d-6040-4f9c-9ef2-a4980ea8eaa2.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-35-44_samples_wqE8sCLl0q.mp4,1acff06d-6040-4f9c-9ef2-a4980ea8eaa2,Not Valid,"Q 14,15 not asking and not asking caste",Not Asking Some of the Questions,కరెంట్,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_ced84559-0e9e-4fd8-b7b8-6aaab3cd626b.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-36-34_samples_Vvos8roNEv.mp4,ced84559-0e9e-4fd8-b7b8-6aaab3cd626b,Valid,Q7 kept his own,Not Doing It Properly,డ్రైనేజి,Agnikulakshatriya,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_4434a83a-b890-40a7-9834-76fe85de6b70.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-30-02_samples_a5FzrFYQew.mp4,4434a83a-b890-40a7-9834-76fe85de6b70,Valid,0,Correctly Done,కరెంట్,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_92d4c494-ae4c-4f35-9928-85d1639fc8cf.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-45-35_samples_hmXIoxhFUl.mp4,92d4c494-ae4c-4f35-9928-85d1639fc8cf,Valid,Q5 kept his own,Not Doing It Properly,డ్రైనేజి,Adi Andhra,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_2762efff-152a-4f2a-bad1-5c8b31b9a8b9.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-36-34_samples_ugU31iUMNp.mp4,2762efff-152a-4f2a-bad1-5c8b31b9a8b9,Valid,0,Correctly Done,డ్రైనేజి,Agnikulakshatriya,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_1671388b-fc43-4609-98f7-40a9b50e5e52.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-45-35_samples_6WqIphHtdh.mp4,1671388b-fc43-4609-98f7-40a9b50e5e52,Valid,0,Correctly Done,డ్రైనేజి,Adi Andhra,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_2716b390-6461-4cba-a96f-3cf6a05f5653.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-50-13_samples_AQbSsRSueS.mp4,2716b390-6461-4cba-a96f-3cf6a05f5653,Valid,not asking caste,Correctly Done,డ్రైనేజి,Kapu,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_dfb1e373-7c7e-40ac-91eb-045094909438.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_11-53-49_samples_aDyDoPJVee.mp4,dfb1e373-7c7e-40ac-91eb-045094909438,Valid,0,Correctly Done,త్రాగునీరు,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_3ff536c7-4f1b-405d-b212-abed36c63571.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_12-29-26_samples_t9zarpJKV4.mp4,3ff536c7-4f1b-405d-b212-abed36c63571,Valid,Q1 Kept on his own,Not Doing It Properly,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Not Valid_7a45ae86-26b9-4d46-8d13-61c8c423e93f.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_12-53-29_samples_om0zZXsRk5.mp4,7a45ae86-26b9-4d46-8d13-61c8c423e93f,Not Valid,Audio not clear due to background noise and Q12 response is not taken properly,Audio Not Playing/ Inaudbile,కరెంట్,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_afbdd9a6-02bb-45a7-87b8-6c42fad9313e.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_12-00-27_samples_PqrXkyGst1.mp4,afbdd9a6-02bb-45a7-87b8-6c42fad9313e,Valid,0,Correctly Done,త్రాగునీరు,Settibalija,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_f5e4b9b6-47b3-4b11-9059-7b1e15f03e98.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-12-28_samples_ldnrprTGEO.mp4,f5e4b9b6-47b3-4b11-9059-7b1e15f03e98,Valid,Q12 response was not said properly by the respondent,Not Doing It Properly,డ్రైనేజి,Mala,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_64288692-5a1d-44c7-a3c0-fe840f8a30c2.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_12-23-24_samples_j0ERlee0SN.mp4,64288692-5a1d-44c7-a3c0-fe840f8a30c2,Valid,0,Correctly Done,రోడ్లు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_e16abbd3-3b93-43b3-a066-4d64f297395a.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-35-16_samples_jRDLjbU91o.mp4,e16abbd3-3b93-43b3-a066-4d64f297395a,Valid,Q12 kept his own,Not Doing It Properly,రోడ్లు,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_0d19d77f-58f0-4bac-8ee3-f3a36c09fa7f.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-59-56_samples_AyHewO5iJa.mp4,0d19d77f-58f0-4bac-8ee3-f3a36c09fa7f,Valid,"Q4,5,6,9,10 kept his own",Not Doing It Properly,రోడ్లు,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_9f58cfc4-22ce-4910-9544-e6aa011f1844.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-59-56_samples_ZztLu0zl5J.mp4,9f58cfc4-22ce-4910-9544-e6aa011f1844,Valid,0,Correctly Done,రోడ్లు,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_23a5a94e-02e6-4cb6-846f-c51d79f5cbad.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-59-56_samples_iv8aU0OGb5.mp4,23a5a94e-02e6-4cb6-846f-c51d79f5cbad,Valid,0,Correctly Done,రోడ్లు,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_06ed762d-7794-416b-8e54-ab90eb3b79b3.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_14-17-04_samples_uF2CiVVKWu.mp4,06ed762d-7794-416b-8e54-ab90eb3b79b3,Valid,0,Correctly Done,డ్రైనేజి,Settibalija,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_88d3a572-6ff2-4588-be3b-febf9feba269.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_14-25-33_samples_D7RJO7yB5H.mp4,88d3a572-6ff2-4588-be3b-febf9feba269,Valid,0,Correctly Done,డ్రైనేజి,Agnikulakshatriya,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_d05a72e4-acd1-46a7-9e23-d8d67593dbd4.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_14-58-53_samples_hUBAN3PYzC.mp4,d05a72e4-acd1-46a7-9e23-d8d67593dbd4,Valid,0,Correctly Done,కరెంట్,Settibalija,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_57511695-d983-4107-8072-fd27251ac771.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-04-06_samples_zyOiUaIFYq.mp4,57511695-d983-4107-8072-fd27251ac771,Valid,0,Correctly Done,డ్రైనేజి,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_1472ca1d-9749-41d6-b51d-816bd0006354.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-10-42_samples_C0MHT3brBo.mp4,1472ca1d-9749-41d6-b51d-816bd0006354,Valid,0,Correctly Done,రోడ్లు,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_113b3c11-6cba-4009-bffb-26d44e26d8f9.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-17-42_samples_5locaYyyFG.mp4,113b3c11-6cba-4009-bffb-26d44e26d8f9,Valid,"Q5,12 kept his own",Not Doing It Properly,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_bb4206ac-1504-4229-bfa7-56c6b2d4ead7.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-17-42_samples_kRtLJajqKv.mp4,bb4206ac-1504-4229-bfa7-56c6b2d4ead7,Valid,0,Correctly Done,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_224b4985-2509-4061-9595-a3d4f868d98e.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-25-12_samples_ZBJbvusZy2.mp4,224b4985-2509-4061-9595-a3d4f868d98e,Valid,0,Correctly Done,డ్రైనేజి,Madiga,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_f25ef8dd-be94-42bb-b66f-1baaad5328ac.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-31-57_samples_Qs064anF13.mp4,f25ef8dd-be94-42bb-b66f-1baaad5328ac,Valid,0,Correctly Done,రోడ్లు,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_ff3e10f5-9634-421e-a007-7a8df9c59143.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-31-57_samples_EbPIskPvYI.mp4,ff3e10f5-9634-421e-a007-7a8df9c59143,Valid,0,Correctly Done,రోడ్లు,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b519977e-8368-4cc8-902b-ba115940c4c6.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-47-36_samples_GML4AEALM2.mp4,b519977e-8368-4cc8-902b-ba115940c4c6,Valid,0,Correctly Done,త్రాగునీరు,Mala,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_279e8290-8344-42ee-92f7-e6ee0e2cdbee.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_15-51-47_samples_MqjmB2DjWw.mp4,279e8290-8344-42ee-92f7-e6ee0e2cdbee,Valid,"Q3,6,8,9,10 respondent not said properly",Not Doing It Properly,డ్రైనేజి,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_e9a9e21f-1607-48b2-b622-620db20168a2.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_16-00-36_samples_BkmAaYLpGG.mp4,e9a9e21f-1607-48b2-b622-620db20168a2,Valid,0,Correctly Done,రోడ్లు,Mala,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_a9c935e2-7e68-40ab-9563-1c9c7a9df2c8.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_16-00-36_samples_iABpYHwXXZ.mp4,a9c935e2-7e68-40ab-9563-1c9c7a9df2c8,Valid,0,Correctly Done,రోడ్లు,Mala,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_60562249-570b-4d8e-93d8-4c26e5023e80.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_16-15-55_samples_lmMw874HlN.mp4,60562249-570b-4d8e-93d8-4c26e5023e80,Valid,0,Correctly Done,రోడ్లు,Settibalija,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_13ef0f3b-e6e9-4843-8927-4ddfdc818988.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_08-55-42_samples_Bcts2pNcXm.mp4,13ef0f3b-e6e9-4843-8927-4ddfdc818988,Valid,Caste - Mala,Not Doing It Properly,రోడ్లు,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_c22c1a90-c9af-46d4-9654-520d4384d499.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-03-44_samples_33kQ9j7yTR.mp4,c22c1a90-c9af-46d4-9654-520d4384d499,Valid,But not asking the Q1 question properly,Correctly Done,డ్రైనేజి,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_3880d4e8-b0f3-4699-8a20-10173a46d614.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-09-15_samples_5RUWov9ikd.mp4,3880d4e8-b0f3-4699-8a20-10173a46d614,Valid,0,Correctly Done,కరెంట్,Settibalija,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_78bf58a5-3668-4d0e-8eb1-40acd4064965.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-14-23_samples_aeCJdwNhUk.mp4,78bf58a5-3668-4d0e-8eb1-40acd4064965,Valid,0,Correctly Done,కరెంట్,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_8203a620-9cbc-43c0-8e59-cd1c7b43fac4.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-14-23_samples_ZralG5G9Sz.mp4,8203a620-9cbc-43c0-8e59-cd1c7b43fac4,Valid,0,Correctly Done,కరెంట్,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_0337ebe3-e4bf-4160-8fe3-5d752dfd6d28.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-21-34_samples_bDBvL2j53X.mp4,0337ebe3-e4bf-4160-8fe3-5d752dfd6d28,Valid,0,Correctly Done,డ్రైనేజి,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_f1aff904-62dc-457d-91f3-d5163e1b095c.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-25-51_samples_Yb7PFQLd1i.mp4,f1aff904-62dc-457d-91f3-d5163e1b095c,Valid,Caste-Gouda,Correctly Done,డ్రైనేజి,Settibalija,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_513b6817-97f2-47b2-be90-c3955e8c0c3b.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-31-33_samples_KBXwGtKJWr.mp4,513b6817-97f2-47b2-be90-c3955e8c0c3b,Valid,"Caste-Gouda, Didn''t asked Q4,Q6 questions properly, Skipped Q5 question",Correctly Done,త్రాగునీరు,Yadava,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_1c2cd752-e984-4e6e-972e-c223b6e02a83.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-33-06_samples_1MookyHVRJ.mp4,1c2cd752-e984-4e6e-972e-c223b6e02a83,Valid,Q2 kept his own,Not Doing It Properly,డ్రైనేజి,Settibalija,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b716f160-f300-4a8a-bc1f-5005f788add4.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-35-09_samples_ul6wUz5J4e.mp4,b716f160-f300-4a8a-bc1f-5005f788add4,Valid,"Didn't asked Q6 properly, kept on his own",Not Doing It Properly,కరెంట్,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_d3a85f02-bb41-4a77-b0f3-0a54742721bf.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-39-41_samples_tKZdZlq0Wa.mp4,d3a85f02-bb41-4a77-b0f3-0a54742721bf,Valid,0,Correctly Done,డ్రైనేజి,Mala,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_e50ff413-b3bf-4365-862f-26a4d58c7e1a.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-21_09-41-27_samples_xQuFf1W2Tz.mp4,e50ff413-b3bf-4365-862f-26a4d58c7e1a,Valid,0,Correctly Done,డ్రైనేజి,Kapu,41-59
